2021-03-13 03:08:50 INFO     Conectado a LAPTOP-GS9DBS5C en el puerto 55555
2021-03-13 03:08:52 INFO     Archivo a enviar: 100MB.zip con tamaño de 100 MB
2021-03-13 03:09:09 INFO     Número de clientes: 3
2021-03-13 03:09:17 INFO     Conexión con éxitosa con 192.168.1.5:61331. Asignado id: 0
2021-03-13 03:09:24 INFO     Conexión con éxitosa con 192.168.1.5:61332. Asignado id: 1
2021-03-13 03:09:30 INFO     Conexión con éxitosa con 192.168.1.5:61334. Asignado id: 2
2021-03-13 03:09:30 INFO     Cliente #0 iniciado
2021-03-13 03:09:30 INFO     El cliente #0 está listo para recibir
2021-03-13 03:09:30 INFO     Cliente #1 iniciado
2021-03-13 03:09:30 INFO     Cliente #2 iniciado
2021-03-13 03:09:31 INFO     El cliente #1 está listo para recibir
2021-03-13 03:09:31 INFO     El cliente #2 está listo para recibir
2021-03-13 03:09:31 INFO     Archivo enviado al cliente #1, bytes enviados: 104865944
2021-03-13 03:09:31 INFO     Archivo enviado al cliente #2, bytes enviados: 104865944
2021-03-13 03:09:32 INFO     Archivo enviado al cliente #0, bytes enviados: 104865944
2021-03-13 03:09:38 INFO     Hash enviado al cliente #1, bytes enviados en total: 104866013
2021-03-13 03:09:38 INFO     Tiempo del envío al cliente #1: -6
2021-03-13 03:09:38 INFO     Hash enviado al cliente #2, bytes enviados en total: 104866013
2021-03-13 03:09:38 INFO     Tiempo del envío al cliente #2: -6
2021-03-13 03:09:38 INFO     Hash enviado al cliente #0, bytes enviados en total: 104866013
2021-03-13 03:09:38 INFO     Tiempo del envío al cliente #0: -6
